Date,Max_Temperature,Min_Temperature,Rainfall
2010-01-01,25.2,9.4,0.0
2010-01-02,25.8,13.1,0.4
2010-01-03,23.3,12.2,0.0
2010-01-04,22.4,8.9,0.0
2010-01-05,22.3,7.8,0.0
2010-01-06,24.3,8.7,0.0
2010-01-07,24.5,11.0,0.0
2010-01-08,23.5,9.9,0.0
2010-01-09,21.7,8.9,0.0
2010-01-10,22.5,8.0,0.0
2010-01-11,24.0,9.1,0.0
2010-01-12,22.1,10.6,0.0
2010-01-13,20.3,8.8,0.0
2010-01-14,21.5,7.9,0.0
2010-01-15,22.9,9.0,0.0
2010-01-16,24.8,9.7,0.0
2010-01-17,26.3,9.4,0.0
2010-01-18,26.6,9.5,0.0
2010-01-19,26.0,9.7,0.0
2010-01-20,26.7,10.2,0.0
2010-01-21,26.7,10.6,0.0
2010-01-22,28.0,11.4,0.0
2010-01-23,27.8,10.1,0.0
2010-01-24,27.1,10.1,0.0
2010-01-25,26.6,13.4,0.0
2010-01-26,28.7,13.8,0.0
2010-01-27,27.8,12.1,0.0
2010-01-28,28.4,12.1,0.0
2010-01-29,27.5,13.5,0.0
2010-01-30,27.3,14.4,0.0
2010-01-31,26.6,12.9,0.0
2010-02-01,27.2,12.7,0.0
2010-02-02,27.7,11.5,0.0
2010-02-03,27.7,13.5,0.0
2010-02-04,28.4,13.4,0.0
2010-02-05,29.5,14.5,0.0
2010-02-06,30.5,14.5,0.0
2010-02-07,31.2,14.1,0.0
2010-02-08,28.5,17.7,2.2
2010-02-09,23.3,9.8,0.0
2010-02-10,23.1,8.1,0.0
2010-02-11,25.1,9.6,0.0
2010-02-12,26.0,13.2,0.0
2010-02-13,26.5,13.4,0.0
2010-02-14,26.4,12.7,0.0
2010-02-15,27.0,10.4,0.0
2010-02-16,27.3,10.7,0.0
2010-02-17,24.4,10.6,0.0
2010-02-18,25.2,9.2,0.0
2010-02-19,28.3,10.0,0.0
2010-02-20,30.6,12.2,0.0
2010-02-21,32.2,14.0,0.0
2010-02-22,32.1,14.3,0.9
2010-02-23,29.0,14.0,0.0
2010-02-24,29.3,14.6,0.0
2010-02-25,30.4,14.1,0.0
2010-02-26,32.1,14.7,0.0
2010-02-27,33.8,17.9,0.0
2010-02-28,34.3,17.9,0.0
2010-03-01,33.9,18.0,0.0
2010-03-02,33.8,19.4,0.0
2010-03-03,33.2,21.6,0.0
2010-03-04,30.3,19.3,0.0
2010-03-05,31.8,18.3,0.0
2010-03-06,30.8,18.6,0.0
2010-03-07,30.7,17.1,0.0
2010-03-08,31.1,16.9,0.0
2010-03-09,31.8,16.6,0.0
2010-03-10,33.3,16.5,0.0
2010-03-11,34.4,16.6,0.0
2010-03-12,35.7,16.3,0.0
2010-03-13,37.3,16.6,0.0
2010-03-14,37.8,19.9,0.0
2010-03-15,37.7,18.7,0.0
2010-03-16,38.5,20.6,0.0
2010-03-17,39.2,22.4,0.0
2010-03-18,38.6,23.2,0.0
2010-03-19,38.5,21.5,0.0
2010-03-20,40.0,20.2,0.0
2010-03-21,40.1,22.0,0.0
2010-03-22,38.3,22.5,0.0
2010-03-23,37.1,22.5,0.0
2010-03-24,36.8,22.3,0.0
2010-03-25,38.0,23.1,0.0
2010-03-26,37.0,23.1,0.0
2010-03-27,37.7,21.5,0.0
2010-03-28,38.6,23.0,0.0
2010-03-29,38.3,23.5,0.0
2010-03-30,37.5,23.5,0.0
2010-03-31,36.7,24.9,0.0
2010-04-01,37.9,24.1,0.0
2010-04-02,36.6,24.9,0.0
2010-04-03,37.4,23.5,0.0
2010-04-04,38.7,23.3,0.0
2010-04-05,39.6,24.4,0.0
2010-04-06,39.2,22.4,0.0
2010-04-07,40.3,21.8,0.0
2010-04-08,41.0,22.5,0.0
2010-04-09,40.3,25.1,0.0
2010-04-10,39.5,23.8,0.0
2010-04-11,39.1,25.8,0.0
2010-04-12,39.7,26.0,0.0
2010-04-13,41.8,23.1,0.0
2010-04-14,42.2,24.2,0.0
2010-04-15,43.1,25.7,0.0
2010-04-16,43.1,27.7,0.0
2010-04-17,42.2,27.2,0.0
2010-04-18,42.2,28.1,0.0
2010-04-19,41.8,27.4,0.0
2010-04-20,40.8,25.6,0.0
2010-04-21,39.2,26.2,0.0
2010-04-22,38.9,24.5,0.0
2010-04-23,40.1,22.9,0.0
2010-04-24,39.7,25.1,0.0
2010-04-25,40.7,25.7,0.7
2010-04-26,41.1,27.0,0.0
2010-04-27,41.4,27.7,0.0
2010-04-28,42.1,28.3,0.0
2010-04-29,42.5,27.5,0.0
2010-04-30,40.4,26.2,0.0
2010-05-01,40.6,26.3,0.0
2010-05-02,41.5,25.9,0.0
2010-05-03,43.4,29.3,0.0
2010-05-04,43.2,28.9,0.0
2010-05-05,41.3,27.7,0.0
2010-05-06,40.5,29.4,0.0
2010-05-07,40.6,28.4,0.0
2010-05-08,40.6,27.9,0.0
2010-05-09,40.8,27.2,0.0
2010-05-10,40.1,28.0,0.0
2010-05-11,42.8,27.1,0.0
2010-05-12,43.9,28.3,0.0
2010-05-13,44.1,27.7,0.5
2010-05-14,42.5,28.1,0.8
2010-05-15,42.6,28.5,0.0
2010-05-16,42.8,29.3,0.0
2010-05-17,42.7,29.7,0.0
2010-05-18,42.2,28.0,0.0
2010-05-19,43.3,29.2,0.0
2010-05-20,44.8,30.6,0.0
2010-05-21,45.8,28.7,0.0
2010-05-22,45.8,27.8,0.0
2010-05-23,45.6,31.0,0.0
2010-05-24,45.1,30.6,0.0
2010-05-25,43.3,28.8,0.0
2010-05-26,42.1,27.5,0.0
2010-05-27,43.9,27.5,0.0
2010-05-28,42.8,27.6,0.0
2010-05-29,41.3,27.7,0.0
2010-05-30,41.4,27.8,0.0
2010-05-31,41.6,29.1,0.0
2010-06-01,40.6,27.2,0.0
2010-06-02,40.3,29.3,0.0
2010-06-03,38.3,29.2,0.2
2010-06-04,39.8,28.6,0.0
2010-06-05,39.6,28.3,0.0
2010-06-06,37.8,27.0,1.3
2010-06-07,28.9,23.5,17.7
2010-06-08,32.9,23.3,0.6
2010-06-09,35.2,24.3,0.0
2010-06-10,37.9,25.6,0.0
2010-06-11,41.8,25.1,0.0
2010-06-12,43.4,27.6,0.0
2010-06-13,43.8,29.0,0.0
2010-06-14,42.5,29.7,0.0
2010-06-15,38.2,30.6,0.0
2010-06-16,39.3,29.4,0.0
2010-06-17,40.6,29.3,0.0
2010-06-18,43.2,31.5,0.0
2010-06-19,44.6,30.5,0.0
2010-06-20,44.9,30.6,0.0
2010-06-21,42.5,29.5,0.0
2010-06-22,41.5,27.8,0.0
2010-06-23,39.7,27.3,0.0
2010-06-24,38.8,28.1,0.0
2010-06-25,39.1,29.5,0.0
2010-06-26,41.5,30.8,0.0
2010-06-27,42.2,32.3,0.0
2010-06-28,41.6,30.6,0.0
2010-06-29,40.8,28.6,0.0
2010-06-30,38.3,28.2,0.0
2010-07-01,38.4,29.4,0.0
2010-07-02,39.9,30.3,0.0
2010-07-03,43.0,30.0,0.0
2010-07-04,39.1,26.8,6.2
2010-07-05,31.9,25.2,36.5
2010-07-06,31.4,25.3,10.4
2010-07-07,33.2,25.7,8.2
2010-07-08,33.6,27.3,2.5
2010-07-09,32.7,26.8,0.1
2010-07-10,33.3,26.6,0.2
2010-07-11,32.0,26.2,0.0
2010-07-12,31.2,25.9,1.3
2010-07-13,32.5,26.0,1.5
2010-07-14,33.5,26.1,0.4
2010-07-15,35.3,26.3,0.5
2010-07-16,38.4,28.2,0.3
2010-07-17,37.8,27.1,7.3
2010-07-18,36.3,26.7,5.7
2010-07-19,33.5,27.2,1.4
2010-07-20,35.9,27.3,0.0
2010-07-21,36.0,27.6,0.6
2010-07-22,35.1,26.8,13.4
