Max_Temperature,Min_Temperature,Rainfall,Year,Month,Day
25.2,9.4,0.0,2010,1,1
25.8,13.1,0.4,2010,1,2
23.3,12.2,0.0,2010,1,3
22.4,8.9,0.0,2010,1,4
22.3,7.8,0.0,2010,1,5
24.3,8.7,0.0,2010,1,6
24.5,11.0,0.0,2010,1,7
23.5,9.9,0.0,2010,1,8
21.7,8.9,0.0,2010,1,9
22.5,8.0,0.0,2010,1,10
24.0,9.1,0.0,2010,1,11
22.1,10.6,0.0,2010,1,12
20.3,8.8,0.0,2010,1,13
21.5,7.9,0.0,2010,1,14
22.9,9.0,0.0,2010,1,15
24.8,9.7,0.0,2010,1,16
26.3,9.4,0.0,2010,1,17
26.6,9.5,0.0,2010,1,18
26.0,9.7,0.0,2010,1,19
26.7,10.2,0.0,2010,1,20
26.7,10.6,0.0,2010,1,21
28.0,11.4,0.0,2010,1,22
27.8,10.1,0.0,2010,1,23
27.1,10.1,0.0,2010,1,24
26.6,13.4,0.0,2010,1,25
28.7,13.8,0.0,2010,1,26
27.8,12.1,0.0,2010,1,27
28.4,12.1,0.0,2010,1,28
27.5,13.5,0.0,2010,1,29
27.3,14.4,0.0,2010,1,30
26.6,12.9,0.0,2010,1,31
27.2,12.7,0.0,2010,2,1
27.7,11.5,0.0,2010,2,2
27.7,13.5,0.0,2010,2,3
28.4,13.4,0.0,2010,2,4
29.5,14.5,0.0,2010,2,5
30.5,14.5,0.0,2010,2,6
31.2,14.1,0.0,2010,2,7
28.5,17.7,2.2,2010,2,8
23.3,9.8,0.0,2010,2,9
23.1,8.1,0.0,2010,2,10
25.1,9.6,0.0,2010,2,11
26.0,13.2,0.0,2010,2,12
26.5,13.4,0.0,2010,2,13
26.4,12.7,0.0,2010,2,14
27.0,10.4,0.0,2010,2,15
27.3,10.7,0.0,2010,2,16
24.4,10.6,0.0,2010,2,17
25.2,9.2,0.0,2010,2,18
28.3,10.0,0.0,2010,2,19
30.6,12.2,0.0,2010,2,20
32.2,14.0,0.0,2010,2,21
32.1,14.3,0.9,2010,2,22
29.0,14.0,0.0,2010,2,23
29.3,14.6,0.0,2010,2,24
30.4,14.1,0.0,2010,2,25
32.1,14.7,0.0,2010,2,26
